ID;AgnosDirec;AgnosEmpleo;DeudaExt;DeudaInt;Edad;Ingreso;Ingreso2;Nacionalidad;NivelEdu;VarObj
100060;2;4;1696,20;273,84;42;35228,25;25723,51368;N;SupCom;N
100061;4;1;2049,27;2150,74;34;23729,86;20667,57896;N;Med;S
100062;4;5;609,89;440,13;41;27928,49;21307,75614;N;Med;N
100063;6;3;2881,16;4052,09;39;50185,71;44094,79496;N;SupCom;S
100064;3;3;1353,75;183,56;24;24542,14;16548,41547;N;Med;N
100065;12;2;1111,34;2249,26;35;69876,06;53618,86602;N;Bas;N
100066;5;1;421,46;151,98;33;35325,19;27976,03883;N;SupCom;N
100067;16;14;3293,24;805,04;38;38618,02;37479,42648;N;SupCom;N
100068;1;1;1265,28;277,84;29;31298,22;21010,63871;N;SupInc;S
100069;3;2;1918,99;628,91;36;38862,89;31489,36505;N;Posg;N
100070;15;8;2562,26;798,67;31;89542,95;68802,30025;N;Med;N
100071;2;6;1186,27;74,87;43;26833,17;23155,02083;N;Med;N
100072;13;19;14837,71;19990,12;37;230902,07;227928,1998;N;Med;N
100073;3;5;778,73;416,54;42;28833,06;23156,284;N;SupCom;N
100074;26;6;916,53;310,29;50;32360,63;29324,77873;N;SupCom;N
100075;0;3;774,47;1091,48;44;79985,83;70949,62895;N;SupInc;N
100076;3;2;710,28;183,12;40;15630,38;13764,77385;N;SupInc;N
100077;5;19;3151,74;1967,95;56;160709,18;142495,2246;N;SupInc;N
100078;2;3;1050,61;847,92;28;54081,72;49590,20757;N;SupCom;S
100079;5;5;888,11;395,18;37;40364,10;38464,21136;N;SupInc;N
100080;11;14;8342,50;637,25;32;41155,29;39358,20079;N;Med;N
100081;10;8;3533,71;1083,40;46;51129,84;45935,47037;N;Posg;N
100082;14;21;2839,67;1535,71;43;56229,83;49286,98873;N;Bas;N
100083;3;6;1860,34;892,43;42;57805,49;50149,45983;N;SupInc;N
100084;5;5;6171,42;2117,88;24;52537,85;46968,57494;N;SupInc;N
100085;10;8;2848,76;1799,86;40;71919,72;62630,03759;N;Bas;N
100086;13;4;5233,09;2051,89;58;101615,91;68080,939;N;SupCom;N
100087;9;2;1944,53;1780,89;40;29495,72;21997,08769;N;SupInc;N
100088;3;2;3173,17;509,70;30;37044,21;35767,87878;N;SupCom;S
100089;0;18;1677,58;2185,74;44;59039,00;52234,95714;N;SupInc;N
100090;3;3;1999,67;613,32;42;46362,74;35949,94626;N;SupCom;N
100091;5;3;4753,21;3188,28;33;31946,64;24954,95816;N;Med;S
100092;25;7;7365,21;1912,21;25;32290,16;28418,93602;N;SupInc;N
100093;5;5;1421,83;5430,18;28;141250,74;131914,5118;N;Med;N
100094;6;6;2709,63;2736,11;24;66476,67;63483,16068;N;Med;N
100095;2;2;2031,50;1279,20;31;34010,86;28984,51207;N;SupInc;S
100096;2;8;2318,14;667,62;34;102068,95;77848,10622;N;Med;N
100097;15;7;4543,96;2876,18;40;93556,05;77133,86648;N;Bas;N
100098;22;23;5837,88;4055,54;41;163127,17;138988,3969;N;SupInc;N
100099;8;3;1424,15;521,84;57;36155,05;30862,34273;N;Bas;N
100100;22;15;9272,51;9741,22;33;101954,92;99636,10521;N;SupInc;N
100101;7;6;6714,81;9273,57;24;74233,99;69096,01405;N;SupInc;N
100102;1;2;16807,86;2484,73;26;40763,91;30738,63206;N;SupInc;S
100103;4;6;1474,68;233,36;34;39219,11;30824,61578;N;SupCom;N
100104;4;6;924,24;1199,16;28;53155,52;52320,7998;N;SupInc;N
100105;8;8;1853,68;1644,38;54;96818,49;88320,87191;N;SupCom;N
100106;5;1;1755,11;1118,51;36;43707,56;42739,96953;N;Posg;S
100107;1;6;5471,93;1603,16;27;77432,34;58006,84847;N;SupCom;N
100108;12;8;28455,80;15824,72;50;259237,21;249443,1545;N;SupCom;S
100109;0;3;1299,65;728,12;29;33060,90;27225,17496;N;SupCom;N
100110;1;0;733,65;538,12;23;23569,03;18991,11378;N;SupCom;S
100111;13;17;4147,41;1325,47;41;134801,84;118672,5686;N;Med;N
100112;3;1;457,03;90,30;40;11843,97;10717,07576;N;Bas;N
100113;1;1;2926,81;741,58;26;30554,10;23850,16325;N;Posg;S
100114;13;4;4582,79;11695,31;47;101672,22;85878,97773;N;SupCom;S
100115;6;8;849,27;320,20;26;34050,90;32246,35267;N;SupInc;N
100116;17;5;7024,37;4900,24;23;122038,42;93607,79937;N;Med;N
100117;16;21;7063,26;3867,95;49;66199,56;51112,36984;N;SupInc;N
100118;6;7;2803,57;1038,06;50;109465,31;74348,54648;N;Med;N
100119;13;8;3395,45;1677,58;35;66651,43;44616,613;N;Posg;N
100120;0;3;1897,35;1018,44;26;23930,61;18964,04141;N;Med;N
100121;1;0;735,07;261,10;21;20579,61;18503,87351;N;Med;N
100122;3;8;1142,22;320,83;53;29496,24;24743,69482;N;SupCom;N
100123;4;6;1033,21;346,33;26;32551,22;24371,68035;N;SupInc;N
100124;4;4;1616,99;1320,27;26;90370,12;70748,9269;N;Med;N
100125;12;14;2418,51;277,32;32;35918,26;25689,73658;N;Med;N
100126;8;22;1982,13;2137,06;56;130526,03;111350,2239;N;SupCom;N
100127;0;1;343,46;284,85;28;19870,71;18711,98239;N;SupCom;N
100128;21;19;16364,68;;42;134711,08;133953,6454;N;SupInc;N
100129;15;10;2966,92;1024,06;33;43621,91;42534,58148;N;SupCom;N
100130;10;9;11358,76;5310,49;27;99456,05;80915,07819;N;SupCom;N
100131;4;7;1857,27;450,65;44;27774,73;22161,09009;N;Med;N
100132;3;3;1559,28;1040,79;43;30626,65;27095,82321;N;Med;N
100133;22;16;5019,43;1163,71;60;69716,61;47892,49373;N;SupCom;N
100134;1;1;1081,95;776,90;19;58369,23;39042,0431;N;SupCom;N
100135;21;12;2862,50;856,78;35;54691,01;47257,41655;N;SupInc;N
100136;1;1;930,05;603,70;31;52507,73;36744,42043;N;SupCom;N
100137;2;7;738,06;326,64;34;37296,84;25643,14094;N;SupInc;N
100138;7;13;11982,42;8423,54;1970;134230,44;114093,2824;N;Med;N
100139;9;10;485,80;615,86;40;63187,93;43376,68445;N;SupInc;N
100140;4;9;4399,43;1553,63;56;84161,07;58148,81021;N;SupInc;N
100141;4;20;4477,23;4992,21;38;111975,17;100654,9776;N;SupInc;N
100142;2;3;1313,72;398,24;51;18617,66;14883,03936;N;SupInc;N
100143;25;25;39873,72;34635,42;43;380416,30;372367,8399;N;SupInc;N
100144;3;2;2415,52;866,45;28;17244,23;15472,44584;N;SupInc;S
100145;4;9;2683,40;501,82;52;24095,61;19382,16463;N;Med;N
100146;6;19;5242,97;1248,39;49;150152,97;120985,0177;N;SupCom;N
100147;3;2;1451,20;958,61;29;43182,12;38524,33462;N;SupInc;N
100148;21;12;3719,18;3677,41;44;89172,13;63812,78085;N;SupInc;N
100149;2;0;1109,99;255,96;27;21524,53;21094,05236;N;SupInc;S
100150;15;21;5671,91;3999,13;46;45134,71;43710,41588;N;SupInc;N
100151;7;20;1393,55;329,56;38;59801,34;44024,57955;N;SupCom;N
100152;3;4;1415,58;768,70;52;50654,10;37892,42263;N;Bas;N
100153;8;6;11200,43;4950,52;45;111850,55;106584,8825;N;SupCom;S
100154;1;4;7194,90;1333,43;29;69558,88;51110,1538;N;Med;S
100155;5;8;2509,59;810,12;48;45589,22;44167,7768;N;SupCom;N
100156;24;9;10423,03;7883,02;42;84414,20;68386,95256;N;SupCom;N
100157;1;6;4138,13;2638,46;48;35136,59;33006,43951;N;SupInc;N
100158;5;11;9655,82;10212,52;38;98723,19;87766,85544;N;SupCom;S
100159;17;23;3756,78;3430,28;47;111994,45;93038,58196;N;Posg;N
100160;6;6;1470,06;676,85;28;65916,42;52820,00367;N;Posg;N
100161;6;6;3106,53;1359,22;32;51115,76;38192,2082;N;SupInc;N
100162;21;20;3093,97;1316,63;40;47440,91;47409,36811;N;SupCom;N
100163;6;11;1240,15;340,09;48;72535,82;65301,14213;N;SupInc;N
100164;3;4;3602,81;3494,97;30;59555,03;52156,15363;N;SupInc;S
100165;8;6;4148,12;1244,14;31;59893,15;42519,5475;N;Med;N
100166;9;3;1113,85;695,51;27;36390,27;30250,97204;N;SupCom;N
100167;5;15;2584,01;2750,14;43;127038,74;117478,5415;N;SupCom;N
100168;4;2;1978,34;177,89;46;35544,25;35456,08431;N;SupInc;N
100169;6;4;1468,96;1129,16;39;25019,79;23742,83899;N;SupCom;N
100170;1;3;2320,29;597,97;47;27686,41;26591,01415;N;SupInc;N
100171;7;17;;657,81;66;60346,61;56304,39493;N;SupInc;N
100172;4;4;1613,44;644,79;31;68221,40;67439,0456;N;SupCom;N
100173;7;5;1313,62;316,14;37;66345,27;58489,61461;N;SupInc;N
100174;20;21;1807,82;3297,84;39;100546,02;75275,76891;N;SupInc;N
100175;0;1;434,83;59,77;44;37300,93;29733,2638;N;SupCom;N
100176;0;4;8459,18;916,30;30;89777,04;61685,08292;N;Bas;N
100177;7;4;1131,47;548,28;25;97736,50;79250,64526;N;SupInc;N
100178;3;7;16182,52;3005,72;30;111636,83;85056,97906;N;SupInc;S
100179;3;1;1729,81;574,33;47;28799,38;21480,18103;N;Posg;N
100180;4;5;1726,27;155,64;36;19274,15;17654,29065;N;Bas;N
100181;2;2;201,31;444,51;37;39728,24;27894,18264;N;SupInc;N
100182;11;4;16697,84;916,11;22;98515,67;88606,88295;N;Med;N
100183;5;5;13578,46;1013,24;47;86805,68;85522,35418;N;SupInc;N
100184;3;3;1258,92;205,31;53;23216,19;19377,41381;N;Bas;N
100185;9;18;3531,67;3437,53;51;142898,73;127276,5387;N;SupCom;N
100186;4;11;11128,37;2822,73;37;88726,15;68604,99132;N;SupInc;S
100187;6;10;1782,72;672,56;39;103091,91;101382,7604;N;SupInc;N
100188;3;5;2424,96;308,99;35;37217,53;33660,43573;N;Med;N
100189;16;17;21338,90;15547,70;35;335177,18;316399,5857;N;Med;N
100190;12;22;3340,97;1912,38;53;96715,67;93806,27031;N;Posg;N
100191;10;19;15045,87;5914,08;37;154879,45;110787,7669;N;SupCom;N
100192;0;1;854,99;146,38;33;9523,96;6925,088416;N;Med;N
100193;9;5;4213,56;3365,98;45;65655,34;46892,87472;N;Bas;S
100194;6;4;1401,93;2128,56;22;88381,11;65106,60373;N;Bas;N
100195;6;5;1876,22;914,51;49;57963,28;46995,96572;N;Med;N
100196;12;3;6330,79;1359,68;21;85007,63;70475,606;N;SupInc;N
100197;3;4;2653,50;1372,86;22;46747,00;40132,29151;N;SupInc;N
100198;3;0;1411,02;585,53;23;15997,72;10839,84177;N;SupInc;S
100199;1;0;2516,99;526,40;36;46078,58;37721,63492;N;SupInc;N
100200;8;14;2027,45;1627,34;38;58514,92;54743,71364;N;SupCom;N
100201;10;16;2458,24;2766,85;51;88111,65;76303,62376;N;Med;N
100202;5;3;1938,75;1263,63;36;31993,45;29417,40537;N;SupCom;S
100203;1;3;7516,04;2420,76;28;77104,53;61211,62441;N;SupInc;S
100204;;5;5769,00;552,12;37;49417,37;44860,91444;N;Med;N
100205;3;0;840,74;125,40;55;19984,22;13565,58347;N;Bas;N
100206;5;14;4334,99;1414,13;42;61854,69;46270,78498;N;SupInc;N
100207;21;30;25209,91;11152,70;48;175944,24;168785,1203;N;SupInc;N
100208;11;15;3285,97;831,66;51;70766,90;64803,80749;N;SupInc;N
100209;4;6;4379,87;1993,75;36;43316,62;33899,97914;N;SupCom;S
100210;11;15;2136,61;334,11;37;24967,49;18518,66097;N;SupCom;N
100211;11;5;13949,73;10092,09;23;536488,40;458129,1746;N;SupCom;N
100212;4;1;1451,42;349,77;36;23147,94;22135,6746;N;Med;N
100213;1;3;2116,97;536,53;35;96261,77;71281,57176;N;Posg;N
100214;3;3;5979,40;2932,98;21;123349,42;108970,4516;N;SupInc;N
100215;2;12;2762,15;1509,28;38;118331,80;98315,20879;N;SupCom;N
100216;7;15;3616,71;1163,50;42;97980,48;68239,93887;N;SupInc;N
100217;0;20;2036,01;1193,71;42;73337,06;59974,99435;N;SupInc;N
100218;6;3;1212,41;599,94;36;48809,09;42679,47908;N;SupCom;N
100219;27;16;9318,78;4823,14;34;111782,06;81756,43211;N;Bas;N
100220;7;5;1622,04;1369,40;42;21618,91;15041,15124;N;Med;S
100221;2;2;1532,58;711,95;44;73768,88;68198,11711;N;SupInc;N
100222;19;9;3880,86;1140,16;27;106170,70;88160,07382;N;Med;N
100223;23;8;5736,27;2875,49;26;52531,70;44318,04348;N;SupInc;N
100224;14;7;1203,29;733,59;35;47022,36;37600,17093;N;SupCom;N
100225;1;2;2785,36;783,09;27;36954,82;33004,02922;N;SupInc;N
100226;23;14;2631,84;1472,21;41;83960,77;57671,44768;N;Bas;N
100227;0;3;2856,61;1073,50;30;36930,48;28419,23364;N;SupInc;N
100228;12;8;1609,97;213,78;36;30285,07;25012,00074;N;SupInc;N
100229;3;2;977,88;163,88;47;27517,04;27388,97079;N;SupCom;N
100230;3;2;892,40;56,26;44;24184,02;20543,39147;N;Med;N
100231;3;1;170,32;64,37;27;8590,18;6302,431445;N;SupCom;N
100232;9;11;3549,90;874,45;48;135131,71;103724,2598;N;Med;N
100233;13;8;17840,70;2441,61;49;82204,39;65144,78951;N;SupInc;S
100234;5;1;1167,37;1262,62;31;28874,49;25338,27334;N;SupInc;N
100235;2;3;1465,89;601,89;43;46105,11;34684,11935;N;SupCom;N
100236;5;12;6218,21;5646,84;56;;0;N;SupCom;N
100237;3;7;3601,70;1286,16;43;49707,35;39323,62143;N;SupCom;N
100238;2;1;1215,46;810,36;42;27874,62;27425,91822;N;SupInc;N
100239;5;12;7034,20;2243,39;30;92161,64;78639,84981;N;Med;N
100240;2;20;6696,47;4345,10;45;128798,79;105087,5251;N;SupInc;N
100241;10;13;6331,61;3699,06;57;101714,22;87181,82746;N;SupInc;N
100242;0;2;621,58;432,71;47;46283,66;31986,93121;N;SupCom;N
100243;8;9;9110,83;11393,39;42;146958,23;117310,8843;N;SupInc;S
100244;11;6;5908,56;2262,57;53;71083,14;57779,3661;N;SupCom;N
100245;0;0;1858,89;874,10;48;54800,69;45657,05514;N;SupCom;N
100246;11;5;1683,07;808,09;39;40779,25;34228,84517;N;SupInc;N
100247;9;11;5381,51;5831,02;43;119536,80;97221,89248;N;Bas;N
100248;24;18;7209,18;1176,05;39;118646,41;88393,55684;N;SupInc;N
100249;17;3;1468,69;163,67;45;19359,72;15784,97435;N;SupCom;N
100250;1;1;621,48;862,22;37;56246,11;56136,14538;N;Med;N
100251;15;6;2797,49;529,09;24;47803,60;41966,9728;N;SupInc;N
100252;2;1;3586,07;341,49;32;36354,48;28751,59905;N;SupInc;N
100253;2;5;834,88;478,98;34;40851,67;27753,40719;N;Med;N
100254;0;3;1171,71;301,33;22;17200,43;13100,20241;N;Med;S
100255;3;4;6767,39;2473,64;38;64032,08;62860,39486;N;SupInc;S
100256;10;2;791,81;182,38;41;33481,78;25438,4263;N;SupInc;N
100257;4;8;4672,24;989,52;36;201625,88;182420,1015;N;SupCom;N
100258;34;16;12022,09;24803,30;34;255488,79;235855,5388;N;Med;N
100259;1;0;787,41;97,26;48;17787,03;16242,92798;N;SupInc;N
100260;9;14;587,99;148,52;41;42525,76;31909,92552;N;SupInc;N
100261;9;5;7123,26;1848,12;23;54819,12;51013,56922;N;Med;N
100262;13;4;7949,97;11977,24;37;55301,48;48912,46237;N;SupInc;S
100263;24;14;3737,35;1486,51;32;133580,63;104128,2576;N;SupCom;N
100264;6;8;3617,81;1849,00;36;27057,32;21563,63246;N;Bas;S
100265;3;3;2655,60;816,64;23;23495,20;18158,43888;N;SupInc;S
100266;7;7;1146,04;395,06;25;26591,89;25094,73936;N;SupCom;N
100267;14;23;27269,96;16386,45;41;207422,09;206999,545;N;SupInc;N
100268;4;17;28358,73;5467,45;44;247982,78;171091,3325;N;SupCom;N
100269;32;19;6786,75;8460,61;42;151070,63;148251,8206;N;SupCom;N
100270;3;2;1184,61;839,61;41;30053,89;23944,03073;N;SupCom;N
100271;3;0;722,40;264,36;23;22204,46;16237,1277;N;SupInc;S
100272;10;11;4115,16;1290,71;31;53010,14;37101,91746;N;SupInc;N
100273;5;3;2535,46;2515,95;38;31010,57;23564,18567;N;SupInc;S
100274;17;6;3846,67;670,25;46;24454,23;18391,50965;N;SupInc;N
100275;2;0;2012,17;1029,19;28;69720,15;64269,79268;N;Med;N
100276;0;8;1429,24;1148,64;49;74716,69;71002,79658;N;Med;N
100277;6;20;32887,93;3365,21;38;91955,33;91704,02149;N;SupInc;N
100278;19;10;1978,28;573,63;33;38013,54;34669,0301;N;SupInc;N
100279;7;3;5376,16;795,38;44;82043,21;70288,46217;N;SupCom;S
100280;11;5;847,34;163,97;49;22075,40;21234,09908;N;Med;N
100281;4;1;2443,00;;34;22011,52;21690,28474;N;SupInc;S
100282;10;20;39148,20;24102,94;53;174234,98;127845,4711;N;SupCom;S
100283;12;8;8596,02;8679,08;47;69526,51;52416,72792;N;SupCom;S
100284;6;13;7526,71;2392,93;39;67501,74;64077,405;N;SupInc;N
100285;8;13;2705,63;1444,07;37;64583,33;51145,3809;N;Bas;N
100286;17;14;1845,76;2085,61;32;84946,10;82719,72556;N;Posg;N
100287;3;5;1936,77;678,14;34;15072,33;13289,48948;N;Med;S
100288;19;10;22289,93;28601,60;53;164428,81;138515,7136;N;SupCom;S
100289;4;6;1564,27;1389,38;25;59294,49;44886,3318;N;SupInc;N
100290;13;10;2124,60;473,97;28;34292,44;31456,35722;N;SupInc;N
100291;8;10;7212,15;2814,99;58;52986,32;48889,20077;N;SupInc;N
100292;12;2;31774,52;7083,43;20;175278,24;124023,6085;N;Med;N
100293;3;5;2066,03;924,00;38;31278,76;23188,69841;N;SupCom;N
100294;5;12;1507,04;438,44;42;63984,66;53925,48415;N;Bas;N
100295;7;8;9771,15;5904,53;36;195699,63;135075,7427;N;SupInc;N
100296;6;8;16936,38;4379,58;35;104331,42;82409,1654;N;SupCom;N
100297;1;6;412,11;95,24;25;17363,35;16049,10874;N;Bas;N
100298;0;1;620,38;211,10;68;21806,47;18095,65973;N;SupCom;N
100299;25;8;5198,68;3127,13;26;64463,94;60998,32748;N;SupInc;N
100300;1;1;578,79;325,03;20;33832,78;32371,9431;N;Med;S
100301;6;7;2896,87;929,86;30;61837,10;53817,61785;N;SupCom;N
100302;5;1;282,46;110,88;67;13692,26;10843,26979;N;Med;N
100303;7;13;24177,13;10980,64;31;113792,74;96430,1748;N;SupInc;N
100304;1;5;1136,85;242,87;24;59950,18;43698,32336;N;SupCom;N
100305;15;9;16682,88;8249,04;27;88821,37;83315,83314;N;Bas;N
100306;16;4;7723,89;6632,49;43;166060,04;162493,7055;N;Bas;S
100307;3;3;2508,56;2089,07;29;63869,08;60836,15663;N;SupCom;N
100308;10;16;3270,50;2910,02;34;59951,91;57521,16882;N;SupInc;N
100309;5;3;1261,92;209,92;21;53452,80;50766,59119;N;Bas;N
100310;14;4;3759,16;7913,79;46;65366,22;64734,82588;N;Med;S
100311;2;1;1848,93;309,94;19;18263,03;17886,10026;N;SupCom;N
100312;0;2;1179,62;642,09;24;58158,35;50891,11563;N;SupCom;N
100313;3;2;333,82;516,89;42;11799,02;11420,47015;N;SupCom;N
100314;1;0;257,58;70,43;21;14516,40;10644,20542;N;SupCom;S
100315;11;9;1528,33;230,63;46;37716,79;31568,18072;N;Bas;N
100316;6;4;2490,42;3216,73;37;33928,50;31021,17608;N;Med;S
100317;7;4;3606,31;1389,41;40;53711,59;35885,22736;N;SupCom;N
100318;1;2;2010,23;298,22;37;45885,93;45120,89785;N;SupCom;N
100319;7;2;1092,71;241,77;20;35873,59;27872,5924;N;SupInc;N
100320;8;6;870,93;1168,03;38;39909,17;31731,14358;N;SupCom;N
100321;7;3;1687,52;613,95;36;25961,18;25094,52127;N;SupInc;S
100322;2;1;1974,48;470,67;25;32299,03;21729,50559;N;Med;N
100323;4;4;843,09;454,04;49;50483,64;41608,48853;N;Med;N
100324;14;17;7089,21;3209,93;44;110678,73;97915,11737;N;SupInc;N
100325;1;5;2151,46;310,93;43;42661,49;42015,41667;N;SupCom;N
100326;14;8;7991,00;18002,83;53;118348,60;93360,15791;N;SupCom;S
100327;2;3;10784,24;1604,99;27;42869,61;39061,71066;N;SupInc;S
100328;2;0;144,10;333,69;22;18481,37;13053,84667;N;SupCom;S
100329;14;12;2457,15;2626,34;58;78884,10;74365,25705;N;SupInc;N
100330;26;13;9514,86;3295,90;44;137566,59;116958,6158;N;Med;N
100331;2;7;1458,76;235,51;38;24877,66;18082,01319;N;SupCom;N
100332;1;1;303,62;66,36;31;12095,37;11918,41115;N;SupCom;N
100333;10;10;37388,32;12077,87;50;103155,54;96016,53481;N;Med;S
100334;21;23;4095,49;5565,58;54;143686,94;106343,0296;N;SupInc;N
100335;3;5;644,61;541,95;45;51942,31;38673,09739;N;Med;N
100336;10;2;13999,70;10148,68;20;160446,67;155418,7184;N;Bas;N
100337;3;1;618,40;1080,26;32;18656,80;17626,1001;N;SupCom;N
100338;21;19;5926,83;1263,11;48;56425,46;39681,29803;N;SupInc;N
100339;2;3;18857,81;3348,03;39;92033,32;89877,26749;N;Med;S
100340;1;0;97,61;25,73;49;14563,08;14315,73306;N;SupCom;N
100341;11;6;611,15;849,32;42;67898,21;64047,21832;N;Bas;N
100342;4;7;556,93;85,45;40;22273,31;17085,80069;N;SupCom;N
100343;5;4;1006,11;680,32;25;34788,28;29781,07131;N;SupCom;N
100344;1;2;1222,38;563,86;41;23959,85;18903,20912;N;SupInc;N
100345;2;3;1995,56;700,77;27;24540,99;24371,22411;N;Med;S
100346;4;7;8583,69;1507,07;37;34180,32;29593,66135;N;SupInc;S
100347;4;5;914,61;361,52;34;28517,74;19198,19936;N;SupInc;N
100348;17;22;13845,36;3013,39;40;43361,40;36689,13763;N;Med;N
100349;1;2;1137,66;734,51;31;17777,09;13113,65872;N;SupInc;N
100350;4;7;3658,98;1167,28;31;38772,01;29111,9804;N;SupCom;N
100351;0;1;605,15;114,39;47;19242,72;15806,63059;N;SupInc;N
100352;6;3;2515,15;3381,32;33;49681,70;37791,02723;N;Posg;S
100353;24;13;5664,00;2730,75;31;128323,47;125302,9268;N;Posg;N
100354;9;15;8142,80;2416,94;41;62639,06;44087,56598;N;SupInc;N
100355;7;13;1455,44;461,70;33;55752,46;46346,1218;N;Med;N
100356;4;12;12160,22;3729,54;36;92471,63;73848,29935;N;Posg;S
100357;1;1;197,71;64,71;41;10107,69;7262,734213;N;SupCom;N
100358;1;1;1339,77;634,40;24;25068,92;23787,04319;N;Posg;S
100359;12;5;1311,03;591,22;50;48258,33;45401,37201;N;Bas;N
100360;8;8;1446,14;683,48;36;53728,16;40316,90856;N;SupCom;N
100361;0;0;21,55;8,30;30;3793,60;2715,602376;N;SupCom;N
100362;3;6;10894,13;3086,37;37;42593,66;40024,12485;N;SupInc;S
100363;7;7;13428,43;3354,99;44;96377,08;91608,15211;N;SupCom;S
100364;13;15;9232,28;2342,94;43;82494,15;75300,56401;N;SupCom;N
100365;3;12;975,96;280,11;36;41402,14;40287,12297;N;Med;N
100366;11;8;3411,96;551,47;26;40235,90;35039,95734;N;SupInc;N
100367;5;2;266,68;244,50;27;66641,37;53999,7861;N;SupInc;N
